options,cost,carbon,energy,protein,carbs,fibre,fat,sat_fat,cholesterol,calcium,iron,sodium,potassium
chili,3.38,12.919,620,51,31,10,37,13,122,298,6,921,1140
veg chili,2.31,1.769,387,17,36.5,11.45,25,8,32,318,3.3,858.5,875.5
burger,4.34,15.521,433.5,33,31,1.1,18.7,8.7,84,249,3.85,721.4,472
veg burger,5.96,1.151,432.5,26.7,43.4,5.6,17.1,6.4,25,275.9,3.75,1135.1,319.4
veg soup,1.44,0.264,107.5,2.5,24,3,0,0,0,69.5,1.35,203.5,651
pasta 1,2,0.782,347.05,8.9,40.25,5.3,17.56,3.6,9.2,63.3,1.66,319.55,331.55
pasta 2,2.76,11.703,382.5,39.5,26,1.9,12.5,5,90,44,4.5,262.5,738
veg curry,1.54,0.975,275,11.1,55,6.4,1.06,0.3,0,76.1,3.5,367.6,489.5
steak,2.81,7.425,191,23,0,0,10,4.3,55,0,2.1,43,243
pork,1.19,0.923,180,22,0,0,10,3.6,62,0,0.6,44,269
chicken,1,0.75,187,15,0,0,14,3.8,70,0,1,63,167
fish,4.49,1.02,162,20,0,0,8,1.4,65,5,0.4,50,281
turkey,0.91,0.75,162,17,0,0,9,2,82,0,1.7,60,207
ribs,0.91,0.923,237,21,0,0,16,6.9,55,0,1.7,53,243
shrimp,0.17,1.62,60,12,0,0,0,0.1,118,24,0.9,67,55
green beans,0.84,0.071,22,1,5,1.9,0,0,0,33,0.5,4,97
mushroom,1.12,0.043,30,4,4,1.9,1,0,0,3,0.5,9,443
asparagus,1.19,0.045,18,3,2,1.6,0,0,0,18,0.7,8,178
brocoli,0.96,0.041,29,2,6,2,0,0,0,33,0.6,34,241
rice,0.46,0.374,109,2,24,0.4,0,0.1,0,8,0.2,1,29
quinoa,0.59,0.11,70,2,13,1.3,1,0.1,0,11,1.7,4,138
mashed potatoes,0.59,0.992,182,3,16.5,3.95,12,7.55,31.25,89.5,0.225,114.5,325.5
side salad,1.38,0.078,21.1,2.3,3.78,1.9,0.05,0,0,65.7,1.9,52.08,446.7
roasted veg,1.06,0.158,167,2,11,2.7,14,2,0,30,0.6,47,425
