options,cost,carbon,energy,protein,carbs,fibre,fat,sat_fat,cholesterol,calcium,iron,sodium,potassium
salad 1,4.22,0.542,252.2,3.2,13.7,3.55,11.1,2.37,4.6,106.7,2.68,849.8,495.1
salad 2,4.19,0.446,371,7.5,17,7.35,32.5,3,0,105,3.25,550.5,908
bagel w cream cheese,1.26,0.909,298,9,39,1.6,11,6.7,32,77,2.9,466,107
sandwich 1,0.48,0.28,323,10,49,5.9,10,1.75,0,61,2.8,449,297
sandwich 2,1.5,1.117,421.3,16.8,35,4.8,24.5,8.1,46,239,3.05,1022.4,302.3
sandwich 3,1.36,0.7,320.4,9.2,33.2,5.1,17.5,3.2,26,58.4,2.8,1079.6,386.4
grilled cheese,1.26,1.269,572,18,33,4.8,43,13.6,50,416,2.7,980,236
wrap 1,4.01,1.34,437.5,33.9,33,4,16.7,3.5,78.3,56.8,4,390.9,712.8
wrap 2,5.52,0.565,482,16,58,10.2,17.5,2.9,0,103,6.2,559.5,876.5
apple,1.15,0.055,72,0,19,2.6,0,0,0,8,0.2,1,148
mango,1.5,0.104,67,1,18,1.9,0,0,0,10,0.1,2,161
orange,1.54,0.052,62,1,15,2.3,0,0,0,52,0.1,0,237
ants on a log,1.03,0.233,415.7,16.3,20.8,4.6,32,4.6,0,48.9,1.5,333.1,598.3
banana,0.22,0.106,105,1,27,2.1,0,0,0,6,0.3,1,422
eggs,0.27,0.216,78,6,1,0,5,1.6,216,25,0.6,62,63
omelet,1.61,0.944,322.5,16.1,4.5,0.5,26.8,13.5,476,160.8,1.65,295.5,235.4
watermelon,0.33,0.176,48,0,12,0,0.6,0,0,12,0.4,2,90
hot dogs,1.31,0.472,239,9,27,0.9,10,3.8,23,62,2.1,718,151
veg and hummus,1.44,0.226,125,5,15,5.5,5,0.8,0,58,1.7,289,428
cucumber,0.63,0.025,28,0,2,0.4,0,0,0,8,0.2,2,76
red pepper,1.06,0.041,15,1,4,0.8,0,0,0,4,0.3,1,126
grape tomatoes,0.18,0.021,1.76,0.12,0.35,0.12,0.02,0,0,0,0,0.47,23.53
